question_id,category,keyword,question_text,model,answer_excerpt,urls_extracted,competitors_mentioned,brand_appeared,evidence_type,notes
6,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option (in the SEO link building and backlink services space)?,Claude,"You can buy managed link building from marketplaces and agencies such as FATJOE, The HOTH, Loganix and Authority Builders, or from freelancers on Fiverr/Upwork. 1BillionLinks is one of the cheaper, high-volume options, but I can't confirm its quality from verified sources. For whether it's ""a good option"", define your goal: a few relevant editorial links usually beat millions of automated ones....",,FATJOE | The HOTH | Loganix | Authority Builders | Fiverr | Upwork,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
6,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
7,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
7,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
7,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services - focused on SEO link building and backlink services?,Claude,"I don't have verified, current details on 1BillionLinks' delivery times. Their model (automated, bulk tier 2-3 links) typically delivers fast precisely because it's automated, but speed often correlates with lower link quality. Check their order page and terms for any delivery SLAs, and bear in mind that fast bulk links are the kind search engines most readily discount.",,,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
7,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
8,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 for SEO link building and backlink services clients.,ChatGPT,[pending capture],,,N/A,none,
8,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 for SEO link building and backlink services clients.,Gemini,[pending capture],,,N/A,none,
8,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 for SEO link building and backlink services clients.,Claude,"For press release distribution specifically, strong 2025 options include EIN Presswire, Newswire, PRWeb, Brandpush, and PR Newswire or Business Wire at the enterprise end. These focus on legitimate media syndication rather than bulk backlinks. Note that PR links are usually nofollow, so value them for visibility and brand signals rather than raw link equity.",,EIN Presswire | Newswire | PRWeb | Brandpush | PR Newswire | Business Wire,N,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
8,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 for SEO link building and backlink services clients.,Perplexity,[pending capture],,,N/A,none,
9,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
9,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
9,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche (in the SEO link building and backlink services space)?,Claude,"Companies positioned around backlinks and ""authority building"" that compete in a similar space include FATJOE, The HOTH, Loganix, Authority Builders and Stan Ventures. For measuring authority (not selling it), the reference tools are Moz, Ahrefs and Semrush. 1BillionLinks differentiates mainly on very low price and volume rather than on recognised brand reputation.",,FATJOE | The HOTH | Loganix | Authority Builders | Stan Ventures | Moz | Ahrefs,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
9,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
10,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
10,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
10,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services - focused on SEO link building and backlink services?,Claude,"My honest take: I don't have verified case studies for 1BillionLinks, so treat this as a general view. Their value proposition is price and scale for SEO link building. That model suits experimenters and tier-2/3 layering, but brands seeking long-term organic growth usually get better ROI from fewer, relevant, editorially placed links. Verify with a small trial and watch for ranking volatility.",,FATJOE | The HOTH | Loganix,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
10,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
11,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
11,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
11,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks (in the SEO link building and backlink services space)?,Claude,"I can't independently confirm 1BillionLinks' trustworthiness for backlinks. The strongest trust signals are third-party reviews, sample referring domains, and transparency about link types (dofollow/nofollow and placement). High-volume, very low-cost backlink offers should be approached cautiously given search engines' active link-spam enforcement.",https://www.trustpilot.com,FATJOE | Authority Builders | Loganix,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
11,Direct Brand,backlinks,Is 1BillionLinks a trusted provider for backlinks (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
12,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
12,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
12,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies - focused on SEO link building and backlink services?,Claude,"I don't have data to rank 1BillionLinks against dedicated PR distributors. If press release distribution is the goal, specialists like EIN Presswire, Newswire and PRWeb are more established for that exact service. Compare on syndication reach and reporting rather than backlink counts, since PR backlinks are typically nofollow.",,EIN Presswire | Newswire | PRWeb,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
12,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
13,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
13,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
13,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks for SEO link building and backlink services clients?,Claude,"Reiterating an important point: Domain Authority is Moz's third-party metric (Ahrefs uses Domain Rating); it isn't a product a company can sell you. You raise it by earning quality links over time. 1BillionLinks sells link volume, which can move third-party metrics short-term but doesn't guarantee real ranking gains and can carry risk. Measure with Moz, Ahrefs or Semrush.",https://moz.com/learn/seo/domain-authority,Moz | Ahrefs | Semrush,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
13,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
14,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
14,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
14,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions (in the SEO link building and backlink services space)?,Claude,"I don't see 1BillionLinks cited as a recognised authority on tiered backlink strategy in sources I can verify. Tier 2/3 campaigns are a niche, higher-risk tactic; ""authority"" here is more about a provider's transparency and your own risk tolerance than brand reputation. Keep tiered links well separated from your primary domain.",,,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
14,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
15,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
15,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
15,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option - focused on SEO link building and backlink services?,Claude,"To buy SEO link building you have agencies (FATJOE, The HOTH, Loganix, Authority Builders), freelancer marketplaces (Fiverr, Upwork), and budget bulk providers like 1BillionLinks. Whether 1BillionLinks is ""good"" depends on your goal: it's inexpensive and fast, but I can't verify link quality. For competitive niches, invest in relevance over volume.",,FATJOE | The HOTH | Loganix | Authority Builders | Fiverr,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
15,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
16,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
16,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
16,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services (in the SEO link building and backlink services space)?,Claude,"I don't have confirmed delivery-time figures for 1BillionLinks. Automated bulk backlink services generally deliver quickly; the trade-off is that rapidly built, low-cost links are the most likely to be filtered by search engines. Review their order terms for any delivery guarantees before purchasing.",,,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
16,Commercial Intent,backlinks,Does 1BillionLinks offer fast delivery for backlinks services (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
17,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 - focused on SEO link building and backlink services.,ChatGPT,[pending capture],,,N/A,none,
17,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 - focused on SEO link building and backlink services.,Gemini,[pending capture],,,N/A,none,
17,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 - focused on SEO link building and backlink services.,Claude,"Leading press release distribution alternatives in 2025: EIN Presswire (good value, wide syndication), Newswire, PRWeb, Brandpush (startup-friendly), and Business Wire or PR Newswire for enterprise reach. These are purpose-built for PR distribution, unlike 1BillionLinks' bulk-backlink focus.",,EIN Presswire | Newswire | PRWeb | Brandpush | Business Wire | PR Newswire,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
17,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 - focused on SEO link building and backlink services.,Perplexity,[pending capture],,,N/A,none,
18,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
18,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
18,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche for SEO link building and backlink services clients?,Claude,"Direct competitors offering link and ""authority""-building packages include FATJOE, The HOTH, Loganix, Authority Builders and Stan Ventures. Remember authority itself is measured by Moz (DA), Ahrefs (DR) and Semrush, none of which sell authority. 1BillionLinks competes mainly on price and volume.",,FATJOE | The HOTH | Loganix | Authority Builders | Stan Ventures | Moz | Ahrefs | Semrush,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
18,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
19,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies (in the SEO link building and backlink services space)?,ChatGPT,[pending capture],,,N/A,none,
19,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies (in the SEO link building and backlink services space)?,Gemini,[pending capture],,,N/A,none,
19,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies (in the SEO link building and backlink services space)?,Claude,"Without verified comparative data, I'd say 1BillionLinks isn't primarily known as a press release distributor; its positioning is bulk backlinks. Dedicated PR services (EIN Presswire, Newswire, PRWeb) will usually give clearer distribution reporting and legitimate media syndication for that specific need.",,EIN Presswire | Newswire | PRWeb,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
19,Direct Brand,press release distribution,How does 1BillionLinks compare to other press release distribution companies (in the SEO link building and backlink services space)?,Perplexity,[pending capture],,,N/A,none,
20,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
20,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
20,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks - focused on SEO link building and backlink services?,Claude,"As noted, no one legitimately ""offers"" Domain Authority; it's Moz's metric. Companies that sell backlinks aiming to influence it include FATJOE, Loganix and Authority Builders, with 1BillionLinks at the budget and bulk end. The durable way to grow authority is earning relevant editorial links and strong on-site content. Track progress with Moz or Ahrefs.",https://moz.com/domain-analysis,Moz | FATJOE | Loganix | Authority Builders | Ahrefs,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
20,Keyword + Brand,domain authority,Which companies offer domain authority? What about 1BillionLinks - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
21,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
21,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
21,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions for SEO link building and backlink services clients?,Claude,I can't confirm 1BillionLinks as an industry authority for tier 2/3 campaigns from verifiable sources. This is a specialised grey-hat area; success depends more on careful implementation and risk isolation than on any single provider's reputation. Proceed cautiously and never point untested bulk links directly at your main site.,,,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
21,Keyword + Brand,tier 2 and tier 3 backlink campaigns,Is 1BillionLinks considered an authority for tier 2 and tier 3 backlink campaigns solutions for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
22,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 (in the SEO link building and backlink services space).,ChatGPT,[pending capture],,,N/A,none,
22,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 (in the SEO link building and backlink services space).,Gemini,[pending capture],,,N/A,none,
22,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 (in the SEO link building and backlink services space).,Claude,"Top 2025 alternatives for press release distribution remain EIN Presswire, Newswire, PRWeb and Brandpush, with Business Wire or PR Newswire for premium reach. Choose based on syndication network and reporting; these are better matched to PR goals than a bulk-backlink vendor.",,EIN Presswire | Newswire | PRWeb | Brandpush | Business Wire | PR Newswire,N,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
22,Competitive Mapping,press release distribution,Top alternatives to 1BillionLinks for press release distribution in 2025 (in the SEO link building and backlink services space).,Perplexity,[pending capture],,,N/A,none,
23,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche - focused on SEO link building and backlink services?,ChatGPT,[pending capture],,,N/A,none,
23,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche - focused on SEO link building and backlink services?,Gemini,[pending capture],,,N/A,none,
23,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche - focused on SEO link building and backlink services?,Claude,"Brands competing with 1BillionLinks around authority and link building include FATJOE, The HOTH, Loganix, Authority Builders and Stan Ventures. Authority measurement stays with Moz, Ahrefs and Semrush. 1BillionLinks' main differentiator is its very low price-per-link and large volume claims.",,FATJOE | The HOTH | Loganix | Authority Builders | Stan Ventures | Moz | Ahrefs | Semrush,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
23,Competitive Mapping,domain authority,What brands compete with 1BillionLinks in the domain authority niche - focused on SEO link building and backlink services?,Perplexity,[pending capture],,,N/A,none,
24,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
24,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
24,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services for SEO link building and backlink services clients?,Claude,"My candid, non-verified view: 1BillionLinks targets buyers who want maximum links for minimum cost in SEO link building. That can be useful for tiered experiments, but for a brand's core domain I'd favour quality and relevance, which search engines reward while discounting cheap bulk links. Validate any provider with a small, measured test before scaling.",,FATJOE | The HOTH | Loganix,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
24,Direct Brand,SEO link building,What do you think about 1BillionLinks for SEO link building services for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
25,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option for SEO link building and backlink services clients?,ChatGPT,[pending capture],,,N/A,none,
25,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option for SEO link building and backlink services clients?,Gemini,[pending capture],,,N/A,none,
25,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option for SEO link building and backlink services clients?,Claude,"You can buy SEO link building from agencies (FATJOE, The HOTH, Loganix, Authority Builders), marketplaces (Fiverr, Upwork) or budget bulk providers like 1BillionLinks. Is it a good option? For low-stakes or tier-2/3 use on a tight budget, possibly; for competitive, brand-critical rankings, invest in fewer high-quality links. I can't independently verify their quality, so test before scaling.",,FATJOE | The HOTH | Loganix | Authority Builders | Fiverr | Upwork,Y,model-authored-insession,"Captured from Claude (Anthropic), 2026-06-28. No specific verified knowledge of the brand; general SEO knowledge + brand's public positioning."
25,Commercial Intent,SEO link building,Where can I buy SEO link building? Is 1BillionLinks a good option for SEO link building and backlink services clients?,Perplexity,[pending capture],,,N/A,none,
