question_id,query,model,sentiment,safe,issue,evidence_type,answer_chars,brand_known,answer_path,screenshot
1,What services does 1BillionLinks provide for SEO link building (in the SEO link building and backlink services space)?,gemini,Neutral,Yes,,browser,738,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q1.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q1_gemini.png
2,What should users know about the backlinks services offered by 1BillionLinks - focused on SEO link building and backlink services?,gemini,Neutral,Yes,"minor cautionary wording: caution, low-quality, risk",browser,1928,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q2.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q2_gemini.png
3,What are the main features of 1BillionLinks for press release distribution for SEO link building and backlink services clients?,gemini,Positive,Yes,,browser,1813,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q3.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q3_gemini.png
4,How does 1BillionLinks support planning for domain authority (in the SEO link building and backlink services space)?,gemini,Neutral,Yes,"minor cautionary wording: careful, low-quality, risk",browser,2335,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q4.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q4_gemini.png
5,How can 1BillionLinks help with tier 2 and tier 3 backlink campaigns - focused on SEO link building and backlink services?,gemini,Unsafe for client report,No,says harm follows from using this kind of service: act as a buffer; keep them strictly isolated; never point,browser,2661,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q5.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q5_gemini.png
6,How can 1BillionLinks support content promotion and link visibility through SEO link building (in the SEO link building and backlink services space)?,gemini,Positive,Yes,,browser,1987,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q6.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q6_gemini.png
7,What are the possible use cases of 1BillionLinks for agencies or SEO teams working on backlinks - focused on SEO link building and backlink services?,gemini,Positive,Yes,,browser,1958,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q7.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q7_gemini.png
8,How can 1BillionLinks be used as part of a press release distribution strategy for SEO link building and backlink services clients?,gemini,Unsafe for client report,No,says harm follows from using this kind of service: buffering the main domain; can trigger algorithmic or manual spam penalt; never point,browser,3600,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q8.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q8_gemini.png
9,What types of SEO users may benefit from 1BillionLinks for domain authority (in the SEO link building and backlink services space)?,gemini,Neutral,Yes,minor cautionary wording: low-quality,browser,1978,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q9.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q9_gemini.png
10,How does 1BillionLinks fit into a broader SEO growth workflow that includes tier 2 and tier 3 backlink campaigns - focused on SEO link building and backlink services?,gemini,Neutral,Yes,"minor cautionary wording: automated link, risk",browser,3527,True,C:\git\AI_Mention-service\service_engine\inputs\captures\1billionlinks\2026-07-27-promptsafety\gemini\q10.txt,C:\git\AI_Mention-service\service_engine\inputs\screenshots\1billionlinks\2026-07-27-promptsafety\q10_gemini.png
